id,first_name,last_name,bats,throws,weight,height,debut,final_game,birth_year,birth_month,birth_day,birth_city,birth_state,birth_country
2,Hank,Aaron,R,R,180,72,1954-04-13,1976-10-03,1934,2,5,Mobile,AL,USA
3,Tommie,Aaron,R,R,190,75,1962-04-10,1971-09-26,1939,8,5,Mobile,AL,USA
4,Don,Aase,R,R,190,75,1977-07-26,1990-10-03,1954,9,8,Orange,CA,USA
5,Andy,Abad,L,L,184,73,2001-09-10,2006-04-13,1972,8,25,"Palm Beach",FL,USA
7,John,Abadie,R,R,192,72,1875-04-26,1875-06-10,1850,11,4,Philadelphia,PA,USA
8,Ed,Abbaticchio,R,R,170,71,1897-09-04,1910-09-15,1877,4,15,Latrobe,PA,USA
9,Bert,Abbey,R,R,175,71,1892-06-14,1896-09-23,1869,11,11,Essex,VT,USA
10,Charlie,Abbey,L,L,169,68,1893-08-16,1897-08-19,1866,10,14,"Falls City",NE,USA
13,Dan,Abbott,R,R,190,71,1890-04-19,1890-05-23,1862,3,16,Portage,OH,USA
14,Fred,Abbott,R,R,180,70,1903-04-25,1905-09-20,1874,10,22,Versailles,OH,USA
15,Glenn,Abbott,R,R,200,78,1973-07-29,1984-08-08,1951,2,16,"Little Rock",AR,USA
16,Jeff,Abbott,R,L,190,74,1997-06-10,2001-09-29,1972,8,17,Atlanta,GA,USA
17,Jim,Abbott,L,L,200,75,1989-04-08,1999-07-21,1967,9,19,Flint,MI,USA
18,Kurt,Abbott,R,R,180,71,1993-09-07,2001-04-13,1969,6,2,Zanesville,OH,USA
19,Kyle,Abbott,L,L,200,76,1991-09-10,1996-08-24,1968,2,18,Newburyport,MA,USA
20,Ody,Abbott,L,R,165,69,1910-09-10,1910-10-15,1886,9,5,"New Eagle",PA,USA
21,Paul,Abbott,R,R,185,75,1990-08-21,2004-08-07,1967,9,15,"Van Nuys",CA,USA
22,Al,Aber,L,L,195,74,1950-09-15,1957-09-11,1927,7,31,Cleveland,OH,USA
23,Frank,Abercrombie,,,,,1871-10-21,1871-10-21,1850,1,2,"Fort Towson",OK,USA
25,Bill,Abernathie,R,R,190,70,1952-09-27,1952-09-27,1929,1,30,Torrance,CA,USA
26,Brent,Abernathy,R,R,185,73,2001-06-25,2005-09-29,1977,9,23,Atlanta,GA,USA
27,Ted,Abernathy,R,L,210,74,1942-09-19,1944-04-29,1921,10,30,Bynum,NC,USA
28,Ted,Abernathy,R,R,215,76,1955-04-13,1972-09-30,1933,3,6,Stanley,NC,USA
29,Woody,Abernathy,L,L,170,72,1946-07-28,1947-04-17,1915,2,1,"Forest City",NC,USA
30,Cliff,Aberson,R,R,200,72,1947-07-18,1949-05-09,1921,8,28,Chicago,IL,USA
31,Harry,Ables,R,L,200,74,1905-09-02,1911-05-05,1883,10,4,Terrell,TX,USA
32,Shawn,Abner,R,R,190,73,1987-09-08,1992-10-03,1966,6,17,Hamilton,OH,USA
33,Cal,Abrams,L,L,185,72,1949-04-19,1956-05-09,1924,3,2,Philadelphia,PA,USA
35,George,Abrams,R,R,170,69,1923-04-19,1923-05-04,1897,11,9,Seattle,WA,USA
36,Johnny,Abrego,R,R,185,72,1985-09-04,1985-10-03,1962,7,4,"Corpus Christi",TX,USA
38,Bobby,Abreu,L,R,220,72,1996-09-01,2014-09-28,1974,3,11,Maracay,Aragua,Venezuela
40,Joe,Abreu,R,R,160,68,1942-04-23,1942-07-11,1913,5,24,Oakland,CA,USA
45,Bill,Abstein,R,R,185,72,1906-09-25,1910-06-02,1883,2,2,"St. Louis",MO,USA
49,Jose,Acevedo,R,R,185,72,2001-06-19,2005-09-29,1977,12,18,"Santo Domingo","Distrito Nacional",D.R.
50,Juan,Acevedo,R,R,245,74,1995-04-30,2003-08-05,1970,5,5,"Ciudad Juarez",Chihuahua,Mexico
52,Jim,Acker,R,R,210,74,1983-04-07,1992-06-14,1958,9,24,Freer,TX,USA
53,Tom,Acker,R,R,215,76,1956-04-20,1959-09-20,1930,3,7,Paterson,NJ,USA
55,Fritz,Ackley,L,R,202,73,1963-09-21,1964-05-09,1937,4,10,Hayward,WI,USA
56,Cy,Acosta,R,R,165,70,1972-06-04,1975-05-05,1946,11,22,"El Sabino",Sinaloa,Mexico
57,Ed,Acosta,B,R,215,77,1970-09-07,1972-10-04,1944,3,9,Boquete,Chiriqui,Panama
58,Jose,Acosta,R,R,134,66,1920-07-28,1922-05-12,1891,3,4,"La Habana","La Habana",Cuba
60,Merito,Acosta,L,L,140,67,1913-06-05,1918-09-02,1896,5,19,Bauta,Artemisa,Cuba
61,Mark,Acre,R,R,235,80,1994-05-13,1997-05-10,1968,9,16,Concord,CA,USA
66,Jerry,Adair,R,R,175,72,1958-09-02,1970-05-03,1936,12,17,"Sand Springs",OK,USA
67,Jimmy,Adair,R,R,154,70,1931-08-24,1931-09-07,1907,1,25,Waxahachie,TX,USA
71,Ace,Adams,R,R,182,70,1941-04-15,1946-04-24,1910,3,2,Willows,CA,USA
74,Babe,Adams,L,R,185,71,1906-04-18,1926-08-11,1882,5,18,Tipton,IN,USA
75,Bert,Adams,B,R,185,73,1910-08-30,1919-09-28,1891,6,21,Wharton,TX,USA
76,Bob,Adams,R,R,168,71,1925-09-22,1925-09-23,1901,7,24,Holyoke,MA,USA
77,Bob,Adams,R,R,165,72,1931-09-27,1932-09-17,1907,1,20,Birmingham,AL,USA
78,Bobby,Adams,R,R,160,70,1946-04-16,1959-04-22,1921,12,14,Tuolumne,CA,USA
79,Bob,Adams,R,R,200,74,1977-07-10,1977-09-29,1952,1,6,Pittsburgh,PA,USA
80,Buster,Adams,R,R,180,72,1939-04-27,1947-09-21,1915,6,24,Trinidad,CO,USA
82,Dan,Adams,R,R,165,71,1914-05-22,1915-09-26,1887,6,19,"St. Louis",MO,USA
84,Dick,Adams,R,L,185,72,1947-05-20,1947-09-28,1920,4,8,Tuolumne,CA,USA
85,Doug,Adams,L,R,185,75,1969-09-08,1969-10-01,1943,1,27,"Blue River",WI,USA
86,George,Adams,R,R,175,66,1879-06-14,1879-06-21,1855,1,25,Worcester,MA,USA
87,Glenn,Adams,L,R,180,73,1975-05-04,1982-10-03,1947,10,4,Northbridge,MA,USA
88,Herb,Adams,L,L,160,69,1948-09-17,1950-08-30,1928,4,14,Hollywood,CA,USA
89,Jim,Adams,,R,148,66,1890-04-21,1890-04-21,1868,,,"East St. Louis",IL,USA
90,Joe,Adams,R,L,190,72,1902-04-26,1902-04-26,1877,10,28,Cowden,IL,USA
91,Joel,Adamson,L,L,185,76,1996-04-10,1998-04-26,1971,7,2,Lakewood,CA,USA
92,Karl,Adams,R,R,170,74,1914-04-19,1915-09-23,1891,8,11,Columbus,GA,USA
95,Mike,Adamson,R,R,185,74,1967-07-01,1969-05-07,1947,9,13,"San Diego",CA,USA
96,Mike,Adams,R,R,180,69,1972-09-10,1978-07-25,1948,7,24,Cincinnati,OH,USA
98,Red,Adams,R,R,185,72,1946-05-05,1946-07-02,1921,10,7,Parlier,CA,USA
99,Rick,Adams,L,L,165,72,1905-07-13,1905-09-29,1878,12,24,Paris,TX,USA
100,Ricky,Adams,R,R,180,74,1982-09-15,1985-10-05,1959,1,21,Upland,CA,USA
104,Sparky,Adams,R,R,151,65,1922-09-18,1934-09-30,1894,8,26,Zerbe,PA,USA
105,Spencer,Adams,L,R,158,69,1923-04-22,1927-10-02,1898,6,21,Layton,UT,USA
106,Terry,Adams,R,R,180,75,1995-08-10,2005-05-23,1973,3,6,Mobile,AL,USA
107,Willie,Adams,R,R,180,76,1912-06-30,1919-09-06,1890,9,27,Clearfield,PA,USA
108,Willie,Adams,R,R,215,79,1996-06-11,1997-08-14,1972,10,8,Gallup,NM,USA
109,Joe,Adcock,R,R,210,76,1950-04-23,1966-10-01,1927,10,30,Coushatta,LA,USA
112,Bob,Addis,L,R,175,72,1950-09-01,1953-06-12,1925,11,6,Mineral,OH,USA
113,Jim,Adduci,L,L,200,77,1983-09-12,1989-07-26,1959,8,9,Chicago,IL,USA
115,Bob,Addy,L,L,160,68,1871-05-06,1877-10-06,1842,2,,"Port Hope",ON,CAN
118,Morrie,Aderholt,L,R,188,73,1939-09-13,1945-09-30,1915,9,13,"Mount Olive",NC,USA
119,Dewey,Adkins,R,R,195,74,1942-09-19,1949-10-02,1918,5,11,Norcatur,KS,USA
120,Dick,Adkins,R,R,165,70,1942-09-19,1942-09-20,1920,3,3,Electra,TX,USA
121,Merle,Adkins,R,R,220,70,1902-06-24,1903-09-29,1872,8,5,Troy,WI,USA
122,Grady,Adkins,R,R,175,71,1928-04-13,1929-10-05,1897,6,29,Jacksonville,AR,USA
123,Harry,Atkinson,,,,,1895-09-25,1895-09-25,1874,1,19,Fulton,MO,USA
125,Steve,Adkins,R,L,210,78,1990-09-12,1990-10-03,1964,10,26,Chicago,IL,USA
127,Dave,Adlesh,R,R,187,72,1963-05-12,1968-09-28,1943,7,15,"Long Beach",CA,USA
130,Troy,Afenir,R,R,185,76,1987-09-14,1992-07-10,1963,9,21,Escondido,CA,USA
132,Benny,Agbayani,R,R,225,72,1998-06-17,2002-09-29,1971,12,28,Honolulu,HI,USA
133,Tommie,Agee,R,R,195,71,1962-09-14,1973-09-30,1942,8,9,Magnolia,AL,USA
134,Harry,Agganis,L,L,200,74,1954-04-13,1955-06-02,1929,4,20,Lynn,MA,USA
135,Joe,Agler,L,L,165,71,1912-10-01,1915-10-02,1887,6,12,Coshocton,OH,USA
136,Sam,Agnew,R,R,185,71,1913-04-10,1919-09-28,1887,4,12,Farmington,MO,USA
137,Juan,Agosto,L,L,190,74,1981-09-07,1993-06-19,1958,2,23,"Rio Piedras",,P.R.
139,Luis,Aguayo,R,R,173,69,1980-04-19,1989-09-30,1959,3,13,"Vega Baja",,P.R.
143,Rick,Aguilera,R,R,195,76,1985-06-12,2000-09-06,1961,12,31,"San Gabriel",CA,USA
145,Hank,Aguirre,R,L,205,76,1955-09-10,1970-06-24,1931,1,31,Azusa,CA,USA
146,Bill,Ahearn,,,,,1880-06-19,1880-06-19,1858,,,Troy,NY,USA
147,Pat,Ahearne,R,R,195,75,1995-06-14,1995-06-30,1969,12,10,"San Francisco",CA,USA
149,Willie,Aikens,L,R,220,75,1977-05-17,1985-04-27,1954,10,14,Seneca,SC,USA
150,Danny,Ainge,R,R,175,76,1979-05-21,1981-09-22,1959,3,17,Eugene,OR,USA
151,Eddie,Ainsmith,R,R,180,71,1910-08-09,1924-07-21,1890,2,4,,,Russia
152,Kurt,Ainsworth,R,R,192,75,2001-09-05,2004-05-14,1978,9,9,"Baton Rouge",LA,USA
153,Raleigh,Aitchison,R,L,175,71,1911-04-19,1915-06-20,1887,12,5,Tyndall,SD,USA
154,George,Aiton,B,R,175,71,1912-06-29,1912-07-28,1890,12,29,Kingman,KS,USA
155,John,Ake,R,R,180,73,1884-05-12,1884-07-15,1861,8,29,Altoona,PA,USA
156,Darrel,Akerfelds,R,R,210,74,1986-08-01,1991-07-02,1962,6,12,Denver,CO,USA
157,Jack,Aker,R,R,190,74,1964-05-03,1974-09-27,1940,7,13,Tulare,CA,USA
158,Bill,Akers,R,R,178,71,1929-09-08,1932-07-27,1904,12,25,Chattanooga,TN,USA
159,Jerry,Akers,R,R,175,71,1912-05-04,1912-05-25,1887,11,1,Shelbyville,IN,USA
163,Gibson,Alba,L,L,160,74,1988-05-03,1988-05-08,1960,1,18,Santiago,Santiago,D.R.
165,Joe,Albanese,R,R,215,75,1958-07-18,1958-09-09,1933,6,26,"New York",NY,USA
167,Butch,Alberts,R,R,205,74,1978-09-07,1978-09-28,1950,5,4,Williamsport,PA,USA
168,Cy,Alberts,R,R,230,72,1910-09-17,1910-10-12,1882,1,14,"Grand Rapids",MI,USA
169,Gus,Alberts,R,R,180,66,1884-05-01,1891-09-22,1860,9,,Reading,PA,USA
171,Jose,Alberro,R,R,190,74,1995-04-27,1997-08-05,1969,6,29,"San Juan",,P.R.
174,Ed,Albosta,R,R,175,73,1941-09-03,1946-09-24,1918,10,27,Saginaw,MI,USA
175,Ed,Albrecht,R,R,165,70,1949-10-02,1950-04-26,1929,2,28,"St. Louis",MO,USA
176,Jack,Albright,R,R,175,69,1947-05-19,1947-07-27,1921,6,30,"St. Petersburg",FL,USA
178,Vic,Albury,L,L,190,72,1973-08-07,1976-09-26,1947,5,12,"Key West",FL,USA
180,Santo,Alcala,R,R,195,77,1976-04-10,1977-09-25,1952,12,23,"San Pedro de Macoris","San Pedro de Macoris",D.R.
182,Israel,Alcantara,R,R,180,74,2000-06-25,2002-08-22,1973,5,6,Bani,Peravia,D.R.
187,Luis,Alcaraz,R,R,165,69,1967-09-13,1970-06-07,1941,6,20,Humacao,,P.R.
188,Scotty,Alcock,R,R,160,69,1914-04-19,1914-08-02,1885,11,29,Wooster,OH,USA
189,Dale,Alderson,R,R,190,70,1943-09-18,1944-07-05,1918,3,9,Belden,NE,USA
190,Mike,Aldrete,L,L,180,71,1986-05-28,1996-09-29,1961,1,29,Carmel,CA,USA
191,Scott,Aldred,L,L,195,76,1990-09-09,2000-05-29,1968,6,12,Flint,MI,USA
192,Cory,Aldridge,L,R,210,72,2001-09-05,2010-07-11,1979,6,13,"San Angelo",TX,USA
193,Jay,Aldrich,R,R,210,75,1987-06-05,1990-04-26,1961,4,14,Alexandria,LA,USA
194,Vic,Aldridge,R,R,175,69,1917-04-15,1928-08-29,1893,10,25,Crane,IN,USA
195,Chuck,Aleno,R,R,215,73,1941-05-15,1944-09-23,1917,2,19,"St. Louis",MO,USA
196,Bob,Alexander,R,R,205,74,1955-04-11,1957-09-22,1922,8,7,Vancouver,BC,CAN
197,Dale,Alexander,R,R,210,75,1929-04-16,1933-09-23,1903,4,26,Greeneville,TN,USA
198,Doyle,Alexander,R,R,190,75,1971-06-26,1989-09-27,1950,9,4,Cordova,AL,USA
199,Gary,Alexander,R,R,195,74,1975-09-12,1981-09-28,1953,3,27,"Los Angeles",CA,USA
200,Gerald,Alexander,R,R,190,71,1990-09-09,1992-06-30,1968,3,26,"Baton Rouge",LA,USA
201,Hugh,Alexander,R,R,190,72,1937-08-15,1937-09-22,1917,7,10,Buffalo,MO,USA
203,Matt,Alexander,B,R,168,71,1973-08-23,1981-10-03,1947,1,30,Shreveport,LA,USA
204,Manny,Alexander,R,R,150,70,1992-09-18,2006-09-28,1971,3,20,"San Pedro de Macoris","San Pedro de Macoris",D.R.
205,Nin,Alexander,R,R,163,64,1884-06-07,1884-09-03,1858,11,24,Pana,IL,USA
206,Pete,Alexander,R,R,185,73,1911-04-15,1930-05-28,1887,2,26,Elba,NE,USA
209,Walt,Alexander,R,R,165,70,1912-06-21,1917-09-08,1891,3,5,Atlanta,GA,USA
213,Antonio,Alfonseca,R,R,250,77,1997-06-17,2007-09-23,1972,4,16,"La Romana","La Romana",D.R.
214,Edgardo,Alfonzo,R,R,210,71,1995-04-26,2006-06-11,1973,11,8,"Santa Teresa del Tuy",Miranda,Venezuela
217,Luis,Alicea,B,R,165,69,1988-04-23,2002-09-25,1965,7,29,Santurce,,P.R.
218,Andy,Allanson,R,R,220,77,1986-04-07,1995-10-02,1961,12,22,Richmond,VA,USA
219,Brian,Allard,R,R,185,73,1979-08-08,1981-06-10,1958,1,3,"Spring Valley",IL,USA
223,Bernie,Allen,L,R,175,72,1962-04-10,1973-09-19,1939,4,16,"East Liverpool",OH,USA
224,Bob,Allen,R,R,175,71,1890-04-19,1900-06-01,1867,7,10,Marion,OH,USA
225,Bob,Allen,R,R,180,70,1919-08-20,1919-09-09,1894,10,13,Muscoda,WI,USA
226,Earl,Allen,R,R,165,73,1937-09-19,1937-10-02,1914,7,2,Smithville,TN,USA
227,Bob,Allen,L,L,175,74,1961-04-14,1967-09-27,1937,10,23,Tatum,TX,USA
229,Chad,Allen,R,R,195,73,1999-04-06,2005-06-02,1975,2,6,Dallas,TX,USA
231,Dick,Allen,R,R,187,71,1963-09-03,1977-06-19,1942,3,8,Wampum,PA,USA
232,Dusty,Allen,R,R,215,76,2000-07-01,2000-10-01,1972,8,9,"Oklahoma City",OK,USA
233,Ethan,Allen,R,R,180,73,1926-06-13,1938-06-18,1904,1,1,Cincinnati,OH,USA
234,Frank,Allen,R,L,175,69,1912-04-24,1917-09-19,1888,8,26,Newbern,AL,USA
235,Gary,Allenson,R,R,185,71,1979-04-08,1985-08-23,1955,2,4,"Culver City",CA,USA
237,Ham,Allen,,,,64,1872-04-27,1872-08-09,1846,4,20,Augusta,ME,USA
238,Hank,Allen,R,R,190,72,1966-09-09,1973-09-28,1940,7,23,Wampum,PA,USA
239,Hezekiah,Allen,,,160,71,1884-05-16,1884-05-16,1863,2,25,Westport,CT,USA
240,Horace,Allen,L,R,187,72,1919-06-15,1919-09-27,1899,6,11,DeLand,FL,USA
241,Jack,Allen,R,R,160,,1879-05-01,1879-07-17,1855,10,2,Woodstock,IL,USA
242,Jamie,Allen,R,R,205,72,1983-05-01,1983-09-04,1958,5,29,Yakima,WA,USA
243,Jermaine,Allensworth,R,R,178,72,1996-07-23,1999-05-29,1972,1,11,Anderson,IN,USA
244,John,Allen,R,R,170,73,1914-06-02,1914-06-02,1890,10,27,"Berkeley Springs",WV,USA
245,Johnny,Allen,R,R,180,72,1932-04-19,1944-09-26,1904,9,30,Lenoir,NC,USA
246,Kim,Allen,R,R,175,71,1980-09-02,1981-09-29,1953,4,5,Fontana,CA,USA
247,Lloyd,Allen,R,R,185,73,1969-09-01,1975-07-27,1950,5,8,Merced,CA,USA
251,Myron,Allen,R,R,150,68,1883-07-19,1888-07-01,1854,3,22,Kingston,NY,USA
252,Neil,Allen,R,R,185,75,1979-04-15,1989-09-19,1958,1,24,"Kansas City",KS,USA
253,Nick,Allen,R,R,180,72,1914-05-01,1920-10-02,1888,9,14,Norton,KS,USA
255,Pete,Allen,R,R,185,68,1893-08-04,1893-08-04,1868,5,1,Columbiana,OH,USA
256,Ron,Allen,B,R,205,75,1972-08-11,1972-08-21,1943,12,23,Wampum,PA,USA
257,Rod,Allen,R,R,185,73,1983-04-07,1988-10-02,1959,10,5,"Los Angeles",CA,USA
258,Sled,Allen,R,R,180,73,1910-05-04,1910-08-05,1886,8,23,"West Plains",MO,USA
259,Gene,Alley,R,R,160,70,1963-09-04,1973-09-27,1940,7,10,Richmond,VA,USA
261,Bob,Allietta,R,R,190,72,1975-05-06,1975-09-28,1952,5,1,"New Bedford",MA,USA
262,Gair,Allie,R,R,190,73,1954-04-13,1954-09-26,1931,10,28,Statesville,NC,USA
263,Andy,Allison,,,150,70,1872-05-07,1872-10-21,1848,,,"New York",NY,USA
264,Art,Allison,,,150,68,1871-05-04,1876-10-05,1849,1,29,Philadelphia,PA,USA
265,Bill,Allison,,,,,1872-05-21,1872-07-04,1850,7,16,"New York",NY,USA
266,Bob,Allison,R,R,205,75,1958-09-16,1970-09-29,1934,7,11,Raytown,MO,USA
267,Dana,Allison,R,L,215,75,1991-04-12,1991-05-23,1966,8,14,"Front Royal",VA,USA
268,Doug,Allison,R,R,160,70,1871-05-05,1883-07-13,1846,7,12,Philadelphia,PA,USA
269,Mack,Allison,R,R,185,73,1911-09-13,1913-08-20,1887,1,23,Owensboro,KY,USA
270,Milo,Allison,L,R,163,72,1913-09-26,1917-06-29,1890,10,16,"Elk Rapids",MI,USA
271,Beau,Allred,L,L,190,72,1989-09-07,1991-06-25,1965,6,4,Mesa,AZ,USA
272,Mel,Almada,L,L,170,72,1933-09-08,1939-10-01,1913,2,7,Huatabampo,Sonora,Mexico
273,Armando,Almanza,L,L,205,75,1999-07-29,2005-07-20,1972,10,26,"El Paso",TX,USA
274,Carlos,Almanzar,R,R,166,74,1997-09-04,2005-04-30,1973,11,6,Santiago,Santiago,D.R.
275,Rafael,Almeida,R,R,164,69,1911-07-04,1913-07-18,1887,6,30,"La Habana","La Habana",Cuba
277,Bill,Almon,R,R,180,75,1974-09-02,1988-06-14,1952,11,21,Providence,RI,USA
279,Erick,Almonte,R,R,245,74,2001-09-04,2011-04-25,1978,2,1,"Santo Domingo","Distrito Nacional",D.R.
280,Hector,Almonte,R,R,190,74,1999-07-26,2003-09-28,1975,10,17,"Santo Domingo","Distrito Nacional",D.R.
285,Luis,Aloma,R,R,195,74,1950-04-19,1953-08-30,1923,6,19,"La Habana","La Habana",Cuba
286,Roberto,Alomar,B,R,184,72,1988-04-22,2004-09-05,1968,2,5,Ponce,,P.R.
287,Sandy,Alomar,B,R,140,69,1964-09-15,1978-09-30,1943,10,19,Salinas,,P.R.
288,Sandy,Alomar,R,R,200,77,1988-09-30,2007-09-30,1966,6,18,Salinas,,P.R.
291,Felipe,Alou,R,R,195,72,1958-06-08,1974-04-24,1935,5,12,"Bajos de Haina","San Cristobal",D.R.
292,Jesus,Alou,R,R,190,74,1963-09-10,1979-09-29,1942,3,24,"Bajos de Haina","San Cristobal",D.R.
293,Matty,Alou,L,L,160,69,1960-09-26,1974-06-21,1938,12,22,"Bajos de Haina","San Cristobal",D.R.
294,Moises,Alou,R,R,185,75,1990-07-26,2008-06-10,1966,7,3,Atlanta,GA,USA
295,Whitey,Alpermann,R,R,180,70,1906-04-13,1909-10-02,1879,11,10,Etna,PA,USA
296,Dell,Alston,L,R,180,72,1977-05-17,1980-10-04,1952,9,22,Valhalla,NY,USA
297,Garvin,Alston,R,R,185,74,1996-06-06,1996-06-18,1971,12,8,"Mount Vernon",NY,USA
298,Tom,Alston,L,R,210,77,1954-04-13,1957-09-29,1926,1,31,Greensboro,NC,USA
299,Walter,Alston,R,R,195,74,1936-09-27,1936-09-27,1911,12,1,Venice,OH,USA
300,Porfi,Altamirano,R,R,175,72,1982-05-09,1984-06-08,1952,5,17,"Ciudad Dario",Matagalpa,Nicaragua
302,Ernie,Alten,R,L,175,72,1920-04-17,1920-06-30,1894,12,1,Avon,OH,USA
303,Jesse,Altenburg,L,R,158,69,1916-09-19,1917-05-17,1893,1,2,Ashley,MI,USA
305,Dave,Altizer,L,R,160,70,1906-05-29,1911-07-10,1876,11,6,Pearl,IL,USA
306,George,Altman,L,R,200,76,1959-04-11,1967-10-01,1933,3,20,Goldsboro,NC,USA
307,Joe,Altobelli,L,L,185,72,1955-04-14,1961-10-01,1932,5,26,Detroit,MI,USA
308,Nick,Altrock,B,L,197,70,1898-07-14,1933-10-01,1876,9,15,Cincinnati,OH,USA
311,George,Alusik,R,R,175,75,1958-09-11,1964-10-02,1935,2,11,Ashley,PA,USA
313,Clemente,Alvarez,R,R,180,71,2000-09-19,2000-10-01,1968,5,18,Guanta,Anzoategui,Venezuela
318,Gabe,Alvarez,R,R,185,73,1998-06-22,2000-09-30,1974,3,6,Navojoa,Sonora,Mexico
320,Jose,Alvarez,R,R,170,70,1981-10-01,1989-06-24,1956,4,12,Tampa,FL,USA
323,Juan,Alvarez,L,L,180,73,1999-09-01,2003-06-03,1973,8,9,"Coral Gables",FL,USA
324,Luis,Alvarado,R,R,162,69,1968-09-13,1977-04-30,1949,1,15,Lajas,,P.R.
325,Orlando,Alvarez,R,R,165,72,1973-09-01,1976-06-18,1952,2,28,"Rio Grande",,P.R.
326,Ossie,Alvarez,R,R,165,70,1958-04-19,1959-04-26,1933,10,19,Bolondron,Matanzas,Cuba
329,Rogelio,Alvarez,R,R,183,71,1960-09-18,1962-09-28,1938,4,18,"Pinar del Rio","Pinar del Rio",Cuba
330,Tavo,Alvarez,R,R,245,75,1995-08-21,1996-09-29,1971,11,25,"Ciudad Obregon",Sonora,Mexico
333,Wilson,Alvarez,L,L,175,73,1989-07-24,2005-09-28,1970,3,24,Maracaibo,Zulia,Venezuela
335,Max,Alvis,R,R,185,71,1962-09-11,1970-09-27,1938,2,2,Jasper,TX,USA
336,Billy,Alvord,R,R,187,70,1885-04-30,1893-07-08,1863,8,10,"St. Louis",MO,USA
337,Brant,Alyea,R,R,215,75,1965-09-11,1972-10-03,1940,12,8,Passaic,NJ,USA
339,Joey,Amalfitano,R,R,175,71,1954-05-02,1967-06-27,1934,1,23,"San Pedro",CA,USA
340,Rich,Amaral,R,R,175,72,1991-05-27,2000-06-14,1962,4,1,Visalia,CA,USA
342,Ruben,Amaro,R,R,170,71,1958-07-15,1969-09-28,1936,1,6,"Nuevo Laredo",Tamaulipas,Mexico
343,Ruben,Amaro,B,R,170,70,1991-06-08,1998-09-27,1965,2,12,Philadelphia,PA,USA
345,Wayne,Ambler,R,R,165,68,1937-06-04,1939-09-04,1915,11,8,Abington,PA,USA
349,Ed,Amelung,L,L,180,71,1984-07-28,1986-07-07,1959,4,13,Fullerton,CA,USA
350,Red,Ames,B,R,185,70,1903-09-14,1919-09-25,1882,8,2,Warren,OH,USA
