id,year,name,park
1,1884,"Altoona Mountain City",
2,2001,"Anaheim Angels","Edison International Field"
3,2001,"Arizona Diamondbacks","Bank One Ballpark"
4,2001,"Atlanta Braves","Turner Field"
5,1874,"Baltimore Canaries","Newington Park"
6,1873,"Baltimore Marylands","Newington Park"
7,1884,"Baltimore Monumentals",
8,1889,"Baltimore Orioles","Oriole Park"
9,1891,"Baltimore Orioles","Union Park"
10,1899,"Baltimore Orioles","Union Park"
11,1902,"Baltimore Orioles","Oriole Park"
12,2001,"Baltimore Orioles","Oriole Park at Camden Yards"
13,1915,"Baltimore Terrapins",
14,1952,"Boston Braves","Braves Field"
15,2001,"Boston Red Sox","Fenway Park II"
16,1875,"Boston Red Stockings","South End Grounds I"
17,1884,"Boston Reds",
18,1890,"Boston Reds",
19,1891,"Boston Reds","Congress Street Grounds"
20,1875,"Brooklyn Atlantics","Union Grounds"
21,1889,"Brooklyn Bridegrooms","Washington Park I"
22,1957,"Brooklyn Dodgers","Ebbets Field"
23,1872,"Brooklyn Eckfords","Union Grounds"
24,1890,"Brooklyn Gladiators","Ridgewood Park"
25,1915,"Brooklyn Tip-Tops",
26,1890,"Brooklyn Ward's Wonders",
27,1885,"Buffalo Bisons","Olympic Park I"
28,1890,"Buffalo Bisons",
29,1915,"Buffalo Blues",
30,1996,"California Angels","Anaheim Stadium"
31,2001,"Chicago Cubs","Wrigley Field"
32,1890,"Chicago Pirates",
33,1915,"Chicago Whales","Wrigley Field"
34,2001,"Chicago White Sox","Comiskey Park II"
35,1871,"Chicago White Stockings","Union Base-Ball Grounds"
36,1875,"Chicago White Stockings","23rd Street Grounds"
37,1884,"Chicago/Pittsburgh (Union League)",
38,1891,"Cincinnati Kelly's Killers","East End Park"
39,1884,"Cincinnati Outlaw Reds",
40,1889,"Cincinnati Red Stockings","League Park I in Cincinnati"
41,1880,"Cincinnati Reds","Bank Street Grounds"
42,2001,"Cincinnati Reds","Cinergy Field"
43,1884,"Cleveland Blues","Kennard Street Park"
44,1888,"Cleveland Blues","National League Park II"
45,1872,"Cleveland Forest Citys","National Association Grounds"
46,2001,"Cleveland Indians","Jacobs Field"
47,1890,"Cleveland Infants",
48,1899,"Cleveland Spiders","League Park I"
